GeoName,GMP,Yr,POP,Region
United States Metropolitan Portion,9255978,2001,216.1349212,North East
"Abilene, TX (MSA)",3533,2001,0.132356798,North East
"Akron, OH (MSA)",20901,2001,0.632558562,North East
"Albany, GA (MSA)",4202,2001,0.143295594,North East
"Albany, OR (MSA)",2334,2001,0.092585981,North East
"Albany-Schenectady-Troy, NY (MSA)",28329,2001,0.739158796,North East
"Albuquerque, NM (MSA)",26471,2001,0.703772632,North East
"Alexandria, LA (MSA)",3309,2001,0.128136617,North East
"Allentown-Bethlehem-Easton, PA-NJ (MSA)",22385,2001,0.674267297,North East
"Altoona, PA (MSA)",3153,2001,0.116059926,North East
"Amarillo, TX (MSA)",6312,2001,0.198853254,North East
"Ames, IA (MSA)",2580,2001,0.072032834,North East
"Anchorage, AK (MSA)",15590,2001,0.255917791,North East
"Ann Arbor, MI (MSA)",14952,2001,0.306669948,North East
"Anniston-Oxford-Jacksonville, AL (MSA)",2439,2001,0.09983218,North East
"Appleton, WI (MSA)",7454,2001,0.188142053,North East
"Asheville, NC (MSA)",9915,2001,0.341026347,North East
"Athens-Clarke County, GA (MSA)",4614,2001,0.151452486,North East
"Atlanta-Sandy Springs-Roswell, GA (MSA)",204759,2001,4.047580454,North East
"Atlantic City-Hammonton, NJ (MSA)",10652,2001,0.228834132,North East
"Auburn-Opelika, AL (MSA)",2231,2001,0.104948725,North East
"Augusta-Richmond County, GA-SC (MSA)",14492,2001,0.455265142,North East
"Austin-Round Rock, TX (MSA)",51998,2001,1.247403143,North East
"Bakersfield, CA (MSA)",15746,2001,0.549905707,North East
"Baltimore-Columbia-Towson, MD (MSA)",98230,2001,2.302841335,North East
"Bangor, ME (MSA)",4194,2001,0.131576471,North East
"Barnstable Town, MA (MSA)",6914,2001,0.199267948,North East
"Baton Rouge, LA (MSA)",22784,2001,0.591992101,North East
"Battle Creek, MI (MSA)",3962,2001,0.129515217,North East
"Bay City, MI (MSA)",2420,2001,0.102638052,North East
"Beaumont-Port Arthur, TX (MSA)",10398,2001,0.334383844,North East
"Beckley, WV (MSA)",2709,2001,0.106097991,North East
"Bellingham, WA (MSA)",4754,2001,0.145890873,North East
"Bend-Redmond, OR (MSA)",3922,2001,0.107797598,North East
"Billings, MT (MSA)",4474,2001,0.119414936,North East
"Binghamton, NY (MSA)",6000,2001,0.243101981,North East
"Birmingham-Hoover, AL (MSA)",40310,2001,0.931247979,North East
"Bismarck, ND (MSA)",3073,2001,0.088956434,North East
"Blacksburg-Christiansburg-Radford, VA (MSA)",4097,2001,0.156344209,North East
"Bloomington, IL (MSA)",6960,2001,0.150668918,North East
"Bloomington, IN (MSA)",3886,2001,0.130206065,North East
"Bloomsburg-Berwick, PA (MSA)",2166,2001,0.074076607,North East
"Boise City, ID (MSA)",17224,2001,0.466307497,North East
"Boston-Cambridge-Newton, MA-NH (MSA)",231512,2001,4.068823705,North East
"Boulder, CO (MSA)",14941,2001,0.286247988,North East
"Bowling Green, KY (MSA)",3419,2001,0.126125129,North East
"Bremerton-Silverdale, WA (MSA)",5955,2001,0.198347933,North East
"Bridgeport-Stamford-Norwalk, CT (MSA)",63769,2001,0.805733852,North East
"Brownsville-Harlingen, TX (MSA)",5074,2001,0.306493506,North East
"Brunswick, GA (MSA)",2379,2001,0.085189429,North East
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",32908,2001,1.061206063,North East
"Burlington, NC (MSA)",3824,2001,0.121439233,North East
"Burlington-South Burlington, VT (MSA)",7719,2001,0.192301943,North East
"California-Lexington Park, MD (MSA)",2659,2001,0.075043039,North East
"Canton-Massillon, OH (MSA)",11117,2001,0.367043053,North East
"Cape Coral-Fort Myers, FL (MSA)",14316,2001,0.408678276,North East
"Cape Girardeau, MO-IL (MSA)",2463,2001,0.08386965,North East
"Carbondale-Marion, IL (MSA)",2675,2001,0.106705493,North East
"Carson City, NV (MSA)",1998,2001,0.047915967,North East
"Casper, WY (MSA)",2974,2001,0.046534917,North East
"Cedar Rapids, IA (MSA)",9424,2001,0.225762403,North East
"Chambersburg-Waynesboro, PA (MSA)",2637,2001,0.118123992,North East
"Champaign-Urbana, IL (MSA)",6172,2001,0.190906279,North East
"Charleston, WV (MSA)",8988,2001,0.199268374,North East
"Charleston-North Charleston, SC (MSA)",17429,2001,0.494061286,North East
"Charlotte-Concord-Gastonia, NC-SC (MSA)",81770,2001,1.621616262,North East
"Charlottesville, VA (MSA)",6112,2001,0.172645613,North East
"Chattanooga, TN-GA (MSA)",15940,2001,0.436198451,North East
"Cheyenne, WY (MSA)",2738,2001,0.06970291,North East
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",403556,2001,8.277222849,North East
"Chico, CA (MSA)",4210,2001,0.183450259,North East
"Cincinnati, OH-KY-IN (MSA)",77488,2001,1.818454895,North East
"Clarksville, TN-KY (MSA)",5561,2001,0.191996962,North East
"Cleveland, TN (MSA)",2721,2001,0.097800302,North East
"Cleveland-Elyria, OH (MSA)",85188,2001,1.941783866,North East
"Coeur d'Alene, ID (MSA)",2505,2001,0.09978887,North East
"College Station-Bryan, TX (MSA)",4246,2001,0.163565623,North East
"Colorado Springs, CO (MSA)",17853,2001,0.499175171,North East
"Columbia, MO (MSA)",4520,2001,0.122799391,North East
"Columbia, SC (MSA)",22151,2001,0.590189705,North East
"Columbus, GA-AL (MSA)",8449,2001,0.248609681,North East
"Columbus, IN (MSA)",3001,2001,0.068506597,North East
"Columbus, OH (MSA)",72029,2001,1.553722039,North East
"Corpus Christi, TX (MSA)",10841,2001,0.331468232,North East
"Corvallis, OR (MSA)",2400,2001,0.085003896,North East
"Crestview-Fort Walton Beach-Destin, FL (MSA)",6508,2001,0.185815441,North East
"Cumberland, MD-WV (MSA)",1867,2001,0.090328511,North East
"Dallas-Fort Worth-Arlington, TX (MSA)",250548,2001,4.826956421,North East
"Dalton, GA (MSA)",4386,2001,0.119927814,North East
"Danville, IL (MSA)",1852,2001,0.075653595,North East
"Daphne-Fairhope-Foley, AL (MSA)",3251,2001,0.129274694,North East
"Davenport-Moline-Rock Island, IA-IL (MSA)",11773,2001,0.335241187,North East
"Dayton, OH (MSA)",27932,2001,0.739391693,North East
"Decatur, AL (MSA)",3516,2001,0.13306589,North East
"Decatur, IL (MSA)",4193,2001,0.104461995,North East
"Deltona-Daytona Beach-Ormond Beach, FL (MSA)",10123,2001,0.450151192,North East
"Denver-Aurora-Lakewood, CO (MSA)",110100,2001,1.988513221,North East
"Des Moines-West Des Moines, IA (MSA)",24043,2001,0.437415857,North East
"Detroit-Warren-Dearborn, MI (MSA)",183864,2001,4.169819023,North East
"Dothan, AL (MSA)",3197,2001,0.119715409,North East
"Dover, DE (MSA)",4097,2001,0.113672937,North East
"Dubuque, IA (MSA)",2906,2001,0.08154675,North East
"Duluth, MN-WI (MSA)",7118,2001,0.243342108,North East
"Durham-Chapel Hill, NC (MSA)",21023,2001,0.408388049,North East
"East Stroudsburg, PA (MSA)",3287,2001,0.128463673,North East
"Eau Claire, WI (MSA)",4247,2001,0.138073409,North East
"El Centro, CA (MSA)",2870,2001,0.129372521,North East
"Elizabethtown-Fort Knox, KY (MSA)",3405,2001,0.11965842,North East
"Elkhart-Goshen, IN (MSA)",7408,2001,0.183452614,North East
"Elmira, NY (MSA)",2097,2001,0.083201079,North East
"El Paso, TX (MSA)",18125,2001,0.614927905,North East
"Erie, PA (MSA)",7409,2001,0.251527702,North East
"Eugene, OR (MSA)",8183,2001,0.296883503,North East
"Evansville, IN-KY (MSA)",10929,2001,0.262665833,North East
"Fairbanks, AK (MSA)",3168,2001,0.071507573,North East
"Fargo, ND-MN (MSA)",6723,2001,0.160530086,North East
"Farmington, NM (MSA)",3542,2001,0.080068721,North East
"Fayetteville, NC (MSA)",9749,2001,0.284501124,North East
"Fayetteville-Springdale-Rogers, AR-MO (MSA)",10945,2001,0.325298698,North East
"Flagstaff, AZ (MSA)",2979,2001,0.104189983,North East
"Flint, MI (MSA)",11476,2001,0.424078933,North East
"Florence, SC (MSA)",5567,2001,0.176522814,North East
"Florence-Muscle Shoals, AL (MSA)",2714,2001,0.125799574,North East
"Fond du Lac, WI (MSA)",2972,2001,0.089927078,North East
"Fort Collins, CO (MSA)",8037,2001,0.240204429,North East
"Fort Smith, AR-OK (MSA)",6760,2001,0.232526142,North East
"Fort Wayne, IN (MSA)",14037,2001,0.366071196,North East
"Fresno, CA (MSA)",19943,2001,0.726865182,North East
"Gadsden, AL (MSA)",1952,2001,0.092947955,North East
"Gainesville, FL (MSA)",6504,2001,0.206870229,North East
"Gainesville, GA (MSA)",5104,2001,0.134266323,North East
"Gettysburg, PA (MSA)",1799,2001,0.083422212,North East
"Glens Falls, NY (MSA)",2674,2001,0.112169135,North East
"Goldsboro, NC (MSA)",2952,2001,0.100795575,North East
"Grand Forks, ND-MN (MSA)",2608,2001,0.084510693,North East
"Grand Island, NE (MSA)",2124,2001,0.070163848,North East
"Grand Junction, CO (MSA)",2903,2001,0.104431974,North East
"Grand Rapids-Wyoming, MI (MSA)",34297,2001,0.879229902,North East
"Grants Pass, OR (MSA)",1238,2001,0.0694842,North East
"Great Falls, MT (MSA)",2022,2001,0.068801252,North East
"Greeley, CO (MSA)",5078,2001,0.169492657,North East
"Green Bay, WI (MSA)",11399,2001,0.260792972,North East
"Greensboro-High Point, NC (MSA)",26179,2001,0.601428965,North East
"Greenville, NC (MSA)",4075,2001,0.123059733,North East
"Greenville-Anderson-Mauldin, SC (MSA)",24473,2001,0.681054155,North East
"Gulfport-Biloxi-Pascagoula, MS (MSA)",10372,2001,0.315239195,North East
"Hagerstown-Martinsburg, MD-WV (MSA)",5553,2001,0.191383767,North East
"Hammond, LA (MSA)",1715,2001,0.087804628,North East
"Hanford-Corcoran, CA (MSA)",2482,2001,0.115457971,North East
"Harrisburg-Carlisle, PA (MSA)",20860,2001,0.456664988,North East
"Harrisonburg, VA (MSA)",4653,2001,0.102360473,North East
"Hartford-West Hartford-East Hartford, CT (MSA)",58341,2001,1.042306112,North East
"Hattiesburg, MS (MSA)",3088,2001,0.111782805,North East
"Hickory-Lenoir-Morganton, NC (MSA)",10577,2001,0.323267826,North East
"Hilton Head Island-Bluffton-Beaufort, SC (MSA)",5434,2001,0.127301691,North East
"Hinesville, GA (MSA)",1749,2001,0.057162467,North East
"Homosassa Springs, FL (MSA)",1995,2001,0.107948704,North East
"Hot Springs, AR (MSA)",1940,2001,0.078951652,North East
"Houma-Thibodaux, LA (MSA)",5750,2001,0.160430792,North East
"Houston-The Woodlands-Sugar Land, TX (MSA)",232037,2001,3.839892103,North East
"Huntington-Ashland, WV-KY-OH (MSA)",8068,2001,0.31122941,North East
"Huntsville, AL (MSA)",11793,2001,0.326233091,North East
"Idaho Falls, ID (MSA)",2999,2001,0.095488267,North East
"Indianapolis-Carmel-Anderson, IN (MSA)",75622,2001,1.533230607,North East
"Iowa City, IA (MSA)",4982,2001,0.120544896,North East
"Ithaca, NY (MSA)",2692,2001,0.084980112,North East
"Jackson, MI (MSA)",4031,2001,0.146294549,North East
"Jackson, MS (MSA)",17217,2001,0.469652746,North East
"Jackson, TN (MSA)",3717,2001,0.111284093,North East
"Jacksonville, FL (MSA)",39918,2001,1.020868498,North East
"Jacksonville, NC (MSA)",3972,2001,0.120582878,North East
"Janesville-Beloit, WI (MSA)",4085,2001,0.144786276,North East
"Jefferson City, MO (MSA)",4317,2001,0.126324106,North East
"Johnson City, TN (MSA)",4000,2001,0.169204738,North East
"Johnstown, PA (MSA)",3072,2001,0.133102253,North East
"Jonesboro, AR (MSA)",2874,2001,0.099336375,North East
"Joplin, MO (MSA)",4160,2001,0.145175362,North East
"Kahului-Wailuku-Lahaina, HI (MSA)",4534,2001,0.118890287,North East
"Kalamazoo-Portage, MI (MSA)",9291,2001,0.289917933,North East
"Kankakee, IL (MSA)",2351,2001,0.093364044,North East
"Kansas City, MO-KS (MSA)",77733,2001,1.680168594,North East
"Kennewick-Richland, WA (MSA)",5985,2001,0.175549233,North East
"Killeen-Temple, TX (MSA)",8105,2001,0.279242033,North East
"Kingsport-Bristol-Bristol, TN-VA (MSA)",7525,2001,0.272723978,North East
"Kingston, NY (MSA)",3279,2001,0.159530992,North East
"Knoxville, TN (MSA)",22813,2001,0.694100466,North East
"Kokomo, IN (MSA)",3395,2001,0.091373974,North East
"La Crosse-Onalaska, WI-MN (MSA)",3918,2001,0.115170934,North East
"Lafayette, LA (MSA)",14280,2001,0.324560207,North East
"Lafayette-West Lafayette, IN (MSA)",5617,2001,0.166810204,North East
"Lake Charles, LA (MSA)",6939,2001,0.147159248,North East
"Lake Havasu City-Kingman, AZ (MSA)",2432,2001,0.140920153,North East
"Lakeland-Winter Haven, FL (MSA)",11257,2001,0.439109065,North East
"Lancaster, PA (MSA)",14851,2001,0.42956728,North East
"Lansing-East Lansing, MI (MSA)",14823,2001,0.412609603,North East
"Laredo, TX (MSA)",3762,2001,0.170087711,North East
"Las Cruces, NM (MSA)",3042,2001,0.160307757,North East
"Las Vegas-Henderson-Paradise, NV (MSA)",56412,2001,1.304444342,North East
"Lawrence, KS (MSA)",2648,2001,0.090868536,North East
"Lawton, OK (MSA)",2872,2001,0.101843972,North East
"Lebanon, PA (MSA)",2550,2001,0.107922803,North East
"Lewiston, ID-WA (MSA)",1440,2001,0.051098258,North East
"Lewiston-Auburn, ME (MSA)",2759,2001,0.093719216,North East
"Lexington-Fayette, KY (MSA)",16915,2001,0.389656761,North East
"Lima, OH (MSA)",3667,2001,0.099094717,North East
"Lincoln, NE (MSA)",10054,2001,0.244129859,North East
"Little Rock-North Little Rock-Conway, AR (MSA)",22172,2001,0.559094233,North East
"Logan, UT-ID (MSA)",1996,2001,0.095443026,North East
"Longview, TX (MSA)",5352,2001,0.163774901,North East
"Longview, WA (MSA)",2359,2001,0.08471898,North East
"Los Angeles-Long Beach-Anaheim, CA (MSA)",525167,2001,11.35177139,North East
"Louisville/Jefferson County, KY-IN (MSA)",42727,2001,1.037466006,North East
"Lubbock, TX (MSA)",6610,2001,0.234280853,North East
"Lynchburg, VA (MSA)",6321,2001,0.210125657,North East
"Macon, GA (MSA)",7073,2001,0.200510276,North East
"Madera, CA (MSA)",2115,2001,0.113807576,North East
"Madison, WI (MSA)",23841,2001,0.492430032,North East
"Manchester-Nashua, NH (MSA)",15255,2001,0.365994098,North East
"Manhattan, KS (MSA)",1773,2001,0.071781377,North East
"Mankato-North Mankato, MN (MSA)",2588,2001,0.079812496,North East
"Mansfield, OH (MSA)",3447,2001,0.123645886,North East
"McAllen-Edinburg-Mission, TX (MSA)",8069,2001,0.519474667,North East
"Medford, OR (MSA)",4612,2001,0.163175771,North East
"Memphis, TN-MS-AR (MSA)",48105,2001,1.113773703,North East
"Merced, CA (MSA)",3841,2001,0.199667308,North East
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",182118,2001,4.62451436,North East
"Michigan City-La Porte, IN (MSA)",2743,2001,0.098900306,North East
"Midland, MI (MSA)",2724,2001,0.0741285,North East
"Midland, TX (MSA)",5385,2001,0.075659651,North East
"Milwaukee-Waukesha-West Allis, WI (MSA)",63540,2001,1.381935231,North East
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",146155,2001,2.809376442,North East
"Missoula, MT (MSA)",3129,2001,0.087066615,North East
"Mobile, AL (MSA)",10694,2001,0.353883318,North East
"Modesto, CA (MSA)",10612,2001,0.420011082,North East
"Monroe, LA (MSA)",4782,2001,0.154857513,North East
"Monroe, MI (MSA)",3302,2001,0.139049143,North East
"Montgomery, AL (MSA)",10666,2001,0.309455421,North East
